Id,GEOID,Geography,Calls_2012,Cases_2012,Est_2012,Calls_2013,Cases_2013,Est_2013,Calls_2014,Cases_2014,Est_2014,Calls_2015,Cases_2015,Est_2015,Calls_2016,Cases_2016,Est_2016
0500000US05035,5035,"Crittenden County, Arkansas",1,0,50065,3,0,49730,2,0,49538,2,1,48985,2,1,49235
0500000US05037,5037,"Cross County, Arkansas",0,0,17651,1,0,17492,1,0,17182,1,0,17282,1,0,17037
0500000US05039,5039,"Dallas County, Arkansas",0,0,7979,0,0,7922,0,0,7735,0,0,7583,0,0,7469
0500000US05041,5041,"Desha County, Arkansas",0,0,12575,1,0,12467,0,0,12245,0,0,12007,1,0,11876
0500000US05043,5043,"Drew County, Arkansas",0,0,18762,1,0,18682,1,0,18669,1,0,18675,1,0,18651
0500000US05045,5045,"Faulkner County, Arkansas",3,1,118534,7,1,119299,4,1,120683,4,1,121343,6,2,122227
0500000US05047,5047,"Franklin County, Arkansas",0,0,17957,1,0,17934,1,0,17767,1,0,17709,1,0,17626
0500000US05049,5049,"Fulton County, Arkansas",0,0,12246,1,0,12243,0,0,12130,0,0,12188,1,0,12123
0500000US05051,5051,"Garland County, Arkansas",2,1,96794,6,1,96986,3,1,97183,4,1,97154,4,1,97477
0500000US05053,5053,"Grant County, Arkansas",0,0,18026,1,0,18035,1,0,18059,1,0,18030,1,0,18082
0500000US05055,5055,"Greene County, Arkansas",1,0,43166,2,0,43078,2,0,43717,2,1,44167,2,1,44598
0500000US05057,5057,"Hempstead County, Arkansas",1,0,22346,1,0,22392,1,0,22289,1,0,22038,1,0,21974
0500000US05059,5059,"Hot Spring County, Arkansas",1,0,33457,2,0,33495,1,0,33389,1,0,33483,2,1,33374
0500000US05061,5061,"Howard County, Arkansas",0,0,13693,1,0,13527,0,0,13488,0,0,13350,1,0,13377
0500000US05063,5063,"Independence County, Arkansas",1,0,36925,2,0,36873,1,0,37113,1,0,37073,2,1,37168
0500000US05065,5065,"Izard County, Arkansas",0,0,13522,1,0,13386,0,0,13508,0,0,13454,1,0,13433
